source,source_detail,text,rating,date,url,themes,mode
play_store,com.myntra.android,"Satisfying experience..... Had a really good experience shopping from Myntra. The products were genuine, well-packed, and delivered on time. The overall shopping experience was smooth and hassle free, with plenty of options to choose from. Definitely a reliable platform for online shopping!",5,2026-08-20,,,rules
play_store,com.myntra.android,"worst app ever , my order has been delayed by 10 days and is still in arriving they don't under stand the value of costomer someone can have emergency . I'm never gonna use thi app now and not gonna recommend any one else to order from here 😒",1,2026-08-20,,,rules
play_store,com.myntra.android,very good online app,5,2026-08-20,,,rules
play_store,com.myntra.android,we always receive good quality products by myntra and always receive on time,5,2026-08-20,,quality_doubt,rules
play_store,com.myntra.android,best for new collection,5,2026-08-20,,,rules
play_store,com.myntra.android,horrible...... once it was a great app /website for shopping now it became one of the worst than worst .... delivery is always delayed that too weeks from the actual date of delivery or delivery is cancelled automatically.... horrible service..not recommended.,1,2026-08-20,,,rules
play_store,com.myntra.android,"I found myntra OG , here , can get original products of almost 90 % of the brands",5,2026-08-20,,,rules
play_store,com.myntra.android,superb app best quality and affordable,5,2026-08-20,,quality_doubt,rules
play_store,com.myntra.android,my account why deactivated iam not login by last two days please clarify problem myntra team,2,2026-08-20,,,rules
play_store,com.myntra.android,I have ordered 3 items till now and all of that are same as I ordered. good experience so far,5,2026-08-20,,,rules
play_store,com.myntra.android,great service 🥂,5,2026-08-20,,,rules
play_store,com.myntra.android,Best Plateform for shopping,5,2026-08-20,,,rules
play_store,com.myntra.android,best shoping app🥰🥰🥰,5,2026-08-20,,,rules
play_store,com.myntra.android,Fake working in myntra case,1,2026-08-20,,,rules
play_store,com.myntra.android,one stop solution for your life needs,5,2026-08-20,,,rules
play_store,com.myntra.android,good and best online shopping 🛍,5,2026-08-20,,,rules
play_store,com.myntra.android,good quality and better to shoping,4,2026-08-20,,quality_doubt,rules
play_store,com.myntra.android,excellent product with offers,5,2026-08-19,,,rules
play_store,com.myntra.android,"Has great quality of clothes and Great collection, love it",5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,"myntra product quality original A1,and paking just wow",5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,Very easy to use and quality of the product is very good,5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,trusted online aap myntra quality very best & branded original item 👌,5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,Good App that sells genuine products Very good UI,5,2026-08-19,,,rules
play_store,com.myntra.android,this is a good app i like it very very much.. i all time use this app for purchase purpose.,5,2026-08-19,,,rules
play_store,com.myntra.android,I've used the app it's very great best one,5,2026-08-19,,,rules
play_store,com.myntra.android,worst app ever the order gets cancelled after waiting for long time without any prior information about cancelled product and the refund money used to get in account after several days,1,2026-08-19,,delivery_return_fear,rules
play_store,com.myntra.android,worst app . no customer service,1,2026-08-19,,,rules
play_store,com.myntra.android,Myntra is known for its quality products. keep it up 💪,5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,nice myntra app,5,2026-08-19,,,rules
play_store,com.myntra.android,everything branded product ✨️,5,2026-08-19,,,rules
play_store,com.myntra.android,Best aap for online shopping,5,2026-08-19,,,rules
play_store,com.myntra.android,it's too smooth,5,2026-08-19,,,rules
play_store,com.myntra.android,best platform to go with trend 😍😍💖,5,2026-08-19,,,rules
play_store,com.myntra.android,Good experience,5,2026-08-19,,,rules
play_store,com.myntra.android,As a young girl it is always best experience to do shopping but if it's myntra shopping naturally becomes a hobby 😍😇 thank you mantra for great shopping experience with numerous choices with latest fashion 🤗,5,2026-08-19,,,rules
play_store,com.myntra.android,"Very disappointing customer support experience with Myntra. I’ve been trying to get a resolution for my issue, but the chat support keeps giving irrelevant AI-generated responses and doesn’t actually address the problem. The chat even ends on its own without providing any resolution. When I request a callback, an AI answers the call as well, leaving me with no proper assistance or solution. What kind of customer support is this when there’s no actual human support and no resolution?",1,2026-08-19,,,rules
play_store,com.myntra.android,one of the best 🙂,5,2026-08-19,,,rules
play_store,com.myntra.android,great app and have good delivery service,5,2026-08-19,,,rules
play_store,com.myntra.android,Absolutely fraud application. return not processed. Customer care executive hold time 30 min. for absolutely rubbish and no resolution. This is happening in 2026 👎👎,1,2026-08-19,,,rules
play_store,com.myntra.android,best platform ever😍,5,2026-08-19,,,rules
play_store,com.myntra.android,Neet to improve many things special customers support system,2,2026-08-19,,,rules
play_store,com.myntra.android,very good products,5,2026-08-19,,,rules
play_store,com.myntra.android,my experience is good with myntra app authentic products good quality of clothes nd unique designs available with reasonable prices nd good offers i m satisfied with all myntra products 😊💫,5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,gud app easy to use,5,2026-08-19,,,rules
play_store,com.myntra.android,Fantastic Experience..customer friendly..,5,2026-08-19,,,rules
play_store,com.myntra.android,this app was very nice deliever product in less time good offers,5,2026-08-19,,,rules
play_store,com.myntra.android,wonderful experience,5,2026-08-19,,,rules
play_store,com.myntra.android,"Good for shopping ... but at times prices are too high, return policy is good",5,2026-08-19,,delivery_return_fear,rules
play_store,com.myntra.android,good for clothes,5,2026-08-19,,,rules
play_store,com.myntra.android,"Delivery dates don't matter to these people at all; they don't care about the customer's plans. They cancel orders on their own and fail to deliver on time. Their customer service is poor, too. Because they cancelled the delivery, I didn't get my shoes, and my Chandrashila trip had to be cancelled. 💔",1,2026-08-19,,,rules
